review,sent
 very happy with the level of professionalism and customer care. Thus far I could not fault Tamar and would be happy to recommend the company to others.,positive
Perfect cellular network in Sri Lanka,positive
You can buy apple phones and any other brands from Dialog.,positive
"Love the service, I have their 75 Mbps line. The only gripe I have is cost. I'm paying the same for 75 Mbps with Dialog that I paid with another company for 250 Mbps at my old residence.",positive
"The switchover was completely seamless and now getting 75MBPS download and around 20 MBPS upload. The service is 100% reliable and I 100% recommend it.
",positive
The speed of the unlimited internet package is good,positive
"The service here is effective and very fast. When compared with other service providers in Sri Lanka, the service of dialog is on par. But the connection issues are also prevalent. The building has enough parking space available, if you need to visit this place.",positive
Sent. Hope it will work perfectly fine,positive
The internet hardly go out and it works well when it's storming or wind day. In winter it works and is great to have for internet choice in my opinion.,positive
Their work and learn package is very useful,positive
Dialog is a great service provider and awesome customer service. They just need to work on moving fiber optics in outer areas and faster DSL service.,positive
They are giving great service to all customers,positive
Very reasonable rates.,positive
I really like my Dialog U-verse internet. I have had it for over a week with no speed or service issues. The installer gave me his number and said if I ever have issues to call him and not tech support. Customer service needs work and the initial rep who set me up misled me on after promo pricing but its okay. I have no complaints. My wired connection runs at 43Mbps and wireless at 34Mbps. Great service. Glad to be rid of Mediacom and their slow 15Mbps service that never ran higher than 10Mbps at any time.,positive
We now have 40 Mbps Internet and it is brilliant. You can't ask for better service than that.,positive
" Great app to check your balance, pay bills etc.",positive
the seasonal bonus data is fantastic,positive
"To be honest at 67 I am not the best with techs but the chap was very patient and took the time to talk me through the entire process , so well done to the chap who took my call , (sorry I don’t have your name ) keep up the good work",positive
data speed is very fast ,positive
dialog 4G home broadband connection is very fast ,positive
Customer service is generally easy to reach and resolve any issues.,positive
Wifi speed is considerably good today,positive
Superb customer service,positive
Technology introducer to Sri Lanka. Excellent service,positive
"Service has never gone out, even during bad storms or hurricanes. DSL speed is very fast.",positive
Wow,positive
Fast and prompt service,positive
"Superb service, service from heart",positive
wifi speed is great,positive
they give us a proper  coverage,positive
"@Buddhikamn @dialoglk Exactly what my theory is, we must get the service that we pay for",positive
Satisfied with the internet speed,positive
They are using advanced technology at their premises.,positive
Thank you for solving my issue,positive
the new version of the dialog app is great,positive
I have always had good service and problems solved easily. If there was ever a problem they handled very well. I go to the local Dialog store and they have handled everything I needed.,positive
One of the best mobile service providers in the country. ,positive
Good service,positive
very flexible & accommodating and helpful. ,positive
"Good service, kind staff",positive
The new look is awesome and the queues are almost gone now,positive
"Internet has been quite reliable, and it's easy to contact customer service via a chat portal.",positive
broadband has been very good. Very occasional drops and speed is at the max I can get 66mb.,positive
" rarely have any issues. When I do, it is taken care of very quickly.",positive
Oky..Thanksâ™¥ï¸è,positive
Quick and knowledgeable service,positive
Great service. New phones arrived on time and follow support call received.,positive
"@dialoglk Yes I do. If the decoder will connect via the Internet (over Dialog BB) then thatâ€™s great.

Does it have its own data connection or am I expected to pay for data on top of the connection?",positive
Awesome thanks so much for good staff members,positive
Dialog have clearly put a lot of effort and resources into getting their broadband right and competing with the big boys and it most definitely shows.,positive
great service provided.,positive
Faster than other networks.,positive
"@dialoglk Now it's working.
And, if you check our DM you can find all these details. That's explains the number of issues you have had in your network?Ÿ˜†",positive
"@dialoglk This looks good but I donâ€™t understand what â€œDTV installation will take placeâ€ù means. I donâ€™t want the dish nor the cable in my house; can this work on Dialog Broadband or not? 

If yes, perfect (and u guys can make that work better for my house next ;-)). If no, no dice for me.",positive
"Good customer service. Whatsapp, facebook data plan is vey useful.",positive
Surprisingly good customer service. I did not expect it based on other branches.,positive
the ideabiz service is well provided,positive
Good pland for both domestic and international use.,positive
DTV has a good package and educational channels,positive
Best service,positive
Dialog has provided good service - prompt and competent. Great contrast to our previous provider,positive
dialog tv is great and we can activate chanells for reasonable prices,positive
Wonderful,positive
Excellent,positive
"Good friendly staff, awesome experience",positive
Fast service ,positive
admiraable srvice ,positive
Good efficient service. Good customer care also,positive
Good place for all telecommunication needs,positive
So far so good everything was on time never had a day without internet.,positive
"his service is very reliable though I am disappointed that the max download speed averages 10.8 Mbps in my area. I would love to see the 25 Mbps they advertise for Baxley. No one I know has ever seen that. In rural America we have very limited choices, so I suppose I should be grateful that we have an advertised 12 Mbps plan from Dialog.",positive
Great customer care,positive
"Been with Vodaphone a few months, Few areas where the signal isn't the best but overall no issues. Used the My Dialog rewards a few times too!",positive
"Congratulations to the SRI LANKA LEGENDS for emerging RUNNERS-UP in the â€˜Road Safety World Seriesâ€™ FINAL. 
A truly legendary performance by our team, all throughout the series! 

#SLLegends #PoweredbyDialog #TrueLegends https://t.co/vFdHAnaH8g",positive
wifi speed and the range is exellent,positive
allow us to manage our calls much easier,positive
thanks dialog for the exceotional service you provide ,positive
Helped me when my phone was stolen and were very easy to deal with,positive
#ThankYou #dialoglk for solving my issue via #Twitter appreciate your efforts. #customerservice #SriLanka,positive
Only had broadband and SIM only deal for 2 weeks now. I am very happy regarding my service. Broadband speeds are excellent and coverage for SIM also excellent.,positive
What an excellent customer service experience received. Thanks so much. 5 stars.,positive
customer services are great ,positive
im so happy for choosing this dialog wifi router ,positive
"Dialog Broadband has been brilliant in the Highlands, they are far more stable an internet provider than my previous provider",positive
"If you want a company who gives you a honest price, and no hidden extras then Network Telecom is your company.",positive
conveniant customer care,positive
"Always had the best network coverage for me, regardless of where I've been in the south of the country. I enjoy the Dialog rewards in their app - adds a nice touch for customers",positive
Thank you @dialoglk ! ???,positive
I trust them more than any other mobile network provider.,positive
Comprehensive telco facilities are offered.,positive
the best network provider ever ,positive
I've been using dialog for 10 years ..no problems occurred ,positive
it's been reliable and at the speed we have been promised.,positive
No any network challenge to dialog,positive
I am using Wifi also it's fast and using shopping by ez cash it's very easy,positive
"Have been a customer of Network Telecom for may years. We have had continued excellent service of both supply and customer service. On the very few occasions we have had a fault, it has been dealt with efficiently and contact made at all stages. Hope this continues in the future. Sales always trying to save us money too. Very refreshing.",positive
Their customer service is excellent. They have always resolved my issues. I think if a person is getting the top package it should include new add on. Their service techs are competent and reliable.,positive
This is an excellent company love very me rewards got some good gifts from there and going to stay with them and think you should join them.,positive
recommending dialog as your network provider,positive
No issues at all with Dialog,positive
"I was anxious at first to get my iPhone 12 Pro set up. Brian and the other employees were kind, knowledgeable and eager to please. Thank you Dialog Boylston St. for helping, teaching, and assisting me. Highly recommend that store!
",positive
the day time data is very fast,positive
"Professionalism, expertise and excellent service. ",positive
"I am getting good coverage, fast 5g and reliable network.",positive
"Nearly 10 years with Dialog and never had a problem. I see the ads from all the others then think 'don't fix it if it isn't broken'. I will tell you the same thing, if you are happy with your cell provider stick with them.",positive
I've never had to call back for an update or chase up because something hasn't happened.,positive
So overall getting as good service for half the price. Would recommend.,positive
Now I'm booking tickets for many events using 444.lk,positive
Dialog TV and internet is amazing. I have been using this internet service for about 9 months now and have not had a bit of trouble. I love it. When they came and hook it all up they explained everything to me and showed me how to use their equipment.,positive
"Very happy with everything that Dialog are providing in terms of their home broadband. The service, speed, cost, set-up, information they send are all first class. Have recommended the service to my friends as I believe it's great value.",positive
 No loss of broadband or reliability issues.,positive
easy to do the online classes without any problem with the connectivity,positive
Very satisfactory service,positive
Good customer management and my request to the relevant service has been fulfilled before the time I expected. Thanks a lot.,positive
I enjoy the rewards that Dialog offer.,positive
broad band 4G connection is good ,positive
better connetion providing for the wholw month,positive
Good customer service. On  my view it's a benchmark in customer service,positive
dialog  is very reliable and flexible ,positive
"I have had Dialog Broadband for over nearly two weeks now, and I can only say it is great.",positive
Good customer experience so far. Efficient process,positive
WiFi coverage is all good,positive
Best customer care,positive
"Special Deal 300 Mbps up/down (Gigabit for more money) Free install, equipment.... works great, no problems.",positive
Customer service is superb even after the sales,positive
"I have been an Dialog Uverse customer for 5 years and contrary to the reviews on here, I have not had any issues. In fact, I just moved my services to my new address and the tech Phillip was awesome! He got the services installed quickly as I moved in boxes. He gave me a wireless receiver for free. There was no charge to move services.",positive
with new technology they give good customer service,positive
iv been with Dialog for 2 years now and iv not really had problem with them.,positive
Good customer service. I went for 4G sim upgrade and got it done within 5 minutes.,positive
Island wide coverage,positive
the high speed internet ensures my safety,positive
They have the best coverage and speed,positive
Nugegoda branch provided me a good customer service,positive
@dialoglk OK great thanks :). Iâ€™ll try it and see then!,positive
Excellent service. Very helpful staff,positive
best service provider and all the telecommunication service under one roof,positive
Network Telecom have always been a friendly efficient supplier with excellent service,positive
unlimited you tube package is valuable ,positive
I'm using study package provided by dialog to Dialogend online lectures,positive
Fast service and helpful staff at Maharagama branch,positive
Credit / Loan services provided by dialog is very useful and timely.,positive
Love Dialog I just wish they would expand 5g cover in the Sri Lanka to have miles better coverage,positive
"I switched yesterday. It went smoothly, absolutely no problems at all. As for the speed, I have gone for the lowest fibre option. Last night I streamed a film via Amazon prime and had no issues.",positive
"Overall I'm really impressed with Dialog, the price I pay is exceptional and the service has been great.",positive
connection is super fast ,positive
the offers they give are the best,positive
"I have Dialog for landline, telephone and internet. My experience with Dialog, including online, telephone and with technicians who come to my home, has always been great. Dialog personnel are knowledgeable and courteous.",positive
All dialog services are good.. No problem experienced.. Service too good at present…,positive
Good service,positive
So far I am very impressed and glad I made the change.,positive
"reliable ,powerful and easy to use ",positive
Superb price.,positive
Best Home Broadband connection,positive
I admire the services you provide,positive
"Tried so many providers and Dialog have never let me down. Never buffers as I stream a lot, no line rental and never been overcharged.",positive
they really concerned about customers and quikly Dialogending to there requirements and do the needful from there best,positive
"As always a pleasure to deal with your staff, this occasion was no exception!",positive
can manage the connectivity without any problem,positive
Very good service. Kudos,positive
"I have found Dialog to be a perfectly fine network, I switched to them for the better network",positive
good and fast service,positive
I had a little connection problem in my house and surprisingly they bought a very expensive divice and fixed the problem .. Really satisfies with your service dialog,positive
Better than before,positive
I find Dialog very good and its the only mobile network ive found i can rely on. I only use the pay as you go method as its a lot easier & you dont have to have credit/pay every month.,positive
"Dialog staff are super efficient, articulate and responsive",positive
"wow I cannot believe people dislike this internet. I have Dialog fiber only @ 100 Mbps for $50 a month. They over-deliver on speeds, and I am often downloading at 150 Mbps or higher. I am extremely satisfied, although I will say the cable modem it comes with has a weak wifi signal in my 516 square foot studio. That is one thing they can improve upon ..",positive
they understand the customers needs and quikly they react to it,positive
"I have no complaints, We have had good service for quite a while now. The price is right!",positive
I assure all of new customers join with Dialog and enjoy  the world value added services on your hand.,positive
4G connection is very powerful,positive
"Dialog Internet, for the most part, is quite reliable and rarely gives any problems with connectivity or billing. They don't put pressure on subscribers or run ad blitzes. On the rare occasions when problems have occurred the repair techs were on site in a reasonable amount of time. Dialog's traditional land line phone service is also very dependable. I'll stay connected as long as the service is still offered.",positive
I use the internet along with my Roku TV and 2 smartphones. My service is great and streaming is very good.,positive
I'm a happy customer. Well done,positive
excellent service ,positive
rs. 345 package is a good internet package.,positive
Quality stuff,positive
 they provide grat consideration for the requiremens ,positive
most of the time I use Ezcash to do my tansactions,positive
Effiecient and polite service,positive
Experiencing best services from dialog,positive
Phone service works great. Been using them for many years,positive
respectfuly spoken and requirements taken quikly for consideration,positive
shopping from ez cash is very easy ,positive
"The reliability of Dialog has been great, their customer service is stellar, their technical staff courteous and knowledgeable. The speed is totally dependent on what you choose and what you’re willing to pay. Updates, new products and services are offered often.",positive
tremendous service,positive
"Dialog has provided excellent internet service. We are rarely down and in the past two to three years, have probably had to call them once to find out when service would be restored.",positive
your technical support serice is excellent,positive
Appreciate the customer service,positive
More than happy with Dialog.,positive
DialogTV is much better than before,positive
Friendly service by device team,positive
Good service.. They know what they are doing,positive
The MyDialog app is very useful,positive
Dialog service has gotten much better over the years. Customer service is excellent. Call back and follow thru is superb. Installation is spot on as well.,positive
"Switched to Dialog fiber so much better. When Dialog fiber was available, I ordered and never been happier. I got Gig speeds for $80/mo. The gateway provided from Dialog was adequate for home user, but I use my own security gateway and access points. The provided gateway of bgw210 would get wifi speeds of 300-400 range and 900 on ethernet. My 3rd party access point would get wifi speeds in the 300-500 range, probably more if I had something that can handle the faster wifi.",positive
"Our Dialog gateway does the wireless and on the other side of the house, my Nexus 6P phone can do 125Mbps - checking against speedtest.net (ookla). That is a vast improvement over my old service connection.",positive
not like other companies .. Dialog do the best to there c ustomers ,positive
 best solutions for all your communication needs,positive
"My internet is really fast and because I already have phone service with Dialog, my internet bill is really cheap and my service has been way better than I expected.",positive
giving very valuble solutions and good instructions and follow up for problems,positive
4G speed is good today,positive
3 Months double data for all new Fixed Broadband Wireless Connections is a good offer,positive
very professional and courteous,positive
the internet coverage is exeptional,positive
dialog is the bestest,positive
Quality services and packages,positive
Got the job done properly and quickly.,positive
its easier to do classes in zoom and teams with the package ,positive
The router and app are brilliant also,positive
"I've had many providers over the years bt, sky,talk talk but Dialog are by far the best I've had I had a speed issue called up got new router free never had any issues since never drops out I find customer service friendly and helpful",positive
I find this internet provider to be the fastest and most service worthy from any others I've tried. Tried DSL and cable prior to this provider and was very disappointed. Thanks Dialog for the fiber speed and awesome service when needed.,positive
Superb reliability.,positive
Good customer service,positive
Good for technology items,positive
Dialog is anyways too good for any kind of phone or appliances. Has great offers.,positive
nothing to complaint about dialog,positive
Best telecommunications company in Sri Lanka,positive
dialog enterprice tools are empowering,positive
Excellent customer service and good value for money broadband. Easy to set up and handy broadband app to make monitoring speed etc easy,positive
the package charges are very resanable,positive
Brand new Dialog experience store in Nugegoda. #dialoglk,positive
I get the promised speed and there customer service live chat is quick and they are very helpful,positive
Had great service here. Staff is nice and friendly and they have very organized service. Gets busy sometimes but they give out numbers and their services keeps moving fast.,positive
no problems experiansed .. Service is too good ,positive
bandwidth of the internet services are great,positive
Comfortable and a pleasant experience,positive
Rs. 345 package is very reasonable ,positive
the way you understand the customers is amazing,positive
very flexible with customers,positive
from the 347 package I can do all my works without any problrm,positive
I would say that Dialog is one of the most customer centric companies in the country.,positive
"I have Dialog Broadband for over 4 Months now, and i got to say it is by far the best Internet connection I have had in the last 15 years.",positive
Has a good bandwidth for 4G coverage.,positive
best mobile postpaid plans in sri lanka,positive
Dialog’s customer service is now above standards in my opinion! The way they’re handling to customer’s concern can benefit the Dialog in the long term.,positive
I was there at one of their events at Dialog Axiata Auditorium. It was sophisticated and a nice setup,positive
Good coverage in pinnawala.,positive
@Speedtest result! How fast is your internet? @dialoglk Super Fast! https://t.co/DU1fOUWpbQ #speedtest https://t.co/eR8Ny1f6qc,positive
the unlimited you tube package is worthwhile,positive
thank you dialog for this great service,positive
"Never had a problem will billing, receipt of handsets etc.",positive
Good friendly and effiecient staff,positive
thank you for giving the free of charge international TV channels ,positive
really easier to pay my bills from the my dialog app,positive
"I am using Dialog now and we are very happy with the company. Have had no big problems as of yet. Installation was very simple, with no satellite disk to install. Do recommend this company.",positive
they full filled my requirements nicely,positive
All I can say is that it is exactly as promised. High speed connection and perfectly reliable. I have had no problems at all.,positive
Quality service,positive
the best telco service provider in the island but can diffrer service lewvel from customer to customer,positive
"Wow, this is an excellent service",positive
Dialog 4G has a decent speed,positive
They came and connected signal receivers as I complained about a signal issue.,positive
Just got Dialog Fiber to my home and have U-verse and Internet over 100% Fiber. I had another provider for the past 10 years and always had problems. The U-verse picture is better than I had with my previous provider and the Internet is really fast. I have the 1000 Mbps internet and speeds run between 600-900 Mbps in each direction depending on test node.,positive
Best place to buy genuine mobile phones with company warranty,positive
Good,positive
I am very happy regarding the service I receive,positive
Excellent service thank you. Very impressed again with the quality of the staff and product flexibility and effectiveness.,positive
Excellent customer service,positive
"Broadband is probably the best internet, tv, mobile, DSL, provider around. At least that's been the case till now, they need to get the fiber optic internet up and running all over the states by now",positive
Dialog Fiber has never gone down or slowed down since the day of installation. Extremely happy customer!,positive
Verry attentive to customer problems,positive
Largest communications partner in Sri Lanka,positive
well recommended dialog network provider,positive
Finally got a post paid connection @dialoglk #dialoglk thanks,positive
thank you dialog your services are superb ,positive
I love how reliable the internet services are,positive
The service has been reliably fast and smooth.,positive
"I called this morning and explained my mobile data issues and to upgrade my contract and he was extremely polite, very helpful and very knowledgeable and solved my problem within minutes.",positive
I now have reliable 30mb service with telephone line and free calls for £28.0 per month.,positive
they did my needful within a second ..thank you dialog,positive
Well done Dialog for providing a brilliant product and super customer service who kept me informed every step of the process.,positive
dialog has the great services,positive
"@hnbplc @Huawei @dialoglk @Airtel Thanks for the update.

I there's even didn't bother to care.

Keep at it. It's this good Dialogitude of HND staff which keep us with your bank.",positive
It is an organization that implements the most advanced knowledge sharing programs,positive
a really good consistent quality service that does what it says on the tin and I highly recommend it.,positive
love the service they give ,positive
"I highly recommend Dialog, I've been a customer for nearly 3 years and have tried many other companies, and none compare to Dialog.",positive
Dialog 'have really done me proud!',positive
no words to say wifi speed is grater and easy to work with ,positive
Sri Lanka's number 01 telecommunications partner,positive
customer service absolutely first class,positive
"an excellent package, well priced with great service. I have recommended to family and friends some have switched and experienced the same service as me. I will continue to recommend as I have always found Dialog to be one of the better companies to deal with.",positive
Fixed my router very quickly. Super fast service and great customer care.,positive
leader of the technology,positive
"I have nothing but praise for Dialog, brilliant service on a brilliant system, thank you Dialog.",positive
"Dialog always gives the public their best services, Maharagama dialog staff always treats the customers kindly and professionally",positive
good clarity of IDD calls,positive
Excellent customer service excellent coverage all in all great service signed up for another 24 months why not it’s all great,positive
"I've been with Dialog since 2018 and my service has been very good. Very little outage, fair pricing and the live chat team are good. Exactly what you expect from a mobile phone company.",positive
admire the way you care about customers ,positive
Dialog Fiber's Internet 1000 is blazing fast and very reliable! I constantly see 900+mbps. Can't recommend them enough.,positive
its super easy to work from home with the exellent network speed ,positive
Internet speed is very constant and almost without fluctuations like other providers. Price is a little bit high but is compensated by reliability which is the most important thing.,positive
the Dialog router is amazing. It's robust and efficient,positive
I went to a seminar at 15th floo at dialog head office.It's great place to have a seminar.,positive
dialog has the best connections,positive
The service is amazing,positive
Superb router.,positive
Good network corporation.,positive
Excellent service providing a great service for virtual offices and solutions that help you grow and manage your business. Real people to talk to that know their products and services and do not give you the big sales pitch!,positive
4G service is greater and its easier to work with it,positive
very satisfied with the connection speed ,positive
"Dialog U-verse offers good reliability and speed, no disconnections, install waiting time a little too long, customer service provides enough information.",positive
"my rock solid broadband connection here in the Sri Lanka is keeping us in contact with the outside world und my business working, so I thought it fair to give them a shout out here for an excellent service.",positive
The fastest telecom experience. Their services have improved a lot. Recognizing loyal customers. Excellent service. Extremely satisfied.,positive
Customer service is perfect. One of the best telecommunications comapanies in Asia.,positive
Thank you for solving my network issue.,positive
loading speed is great in this you tube package ,positive
they do the fair support for all the packages,positive
no problems at all this is very fast ,positive
"Exceptional service, comfortable atmosphere",positive
"Dialog is one of the best service phone places out here there customer service is great and welling to help you with any problem that you may have on seller device.
",positive
The MyDialog app gives a very transparent view of your connections with Dialog as a very efficient platforms to manage your connections.,positive
"Everytime I have an issue, which is rare, it is resolved quickly and professionally.",positive
Best place near to nawala for your Dialog services. Interesting office and friendly and quick service. I went for handover my 4G router. Within 15 minutes I could do that. Parking also available.,positive
Good customer care,positive
its easy to do my business with this network connectivity,positive
fun blaster package is first class,positive
thank you dialog love your service,positive
New design router is smart and capable.,positive
broad band 4G connection is good ,positive
it is refreshing to get this level of customer service ,positive
I've never had any serious problems with either mobile or broadband services.,positive
Dedicated to resolve problems. Very professional and courteous.,positive
Very good customer service and complaints are handled promptly. You can get a variety of dialog services from this place,positive
Recently introduced spotify package seems good,positive
@RockCityOutlaw @MobitelSriLanka So it's no better than @dialoglk?,positive
Rs.199 data package is better than I thought,positive
very satisfied with everything,positive
Genie payment gateway is very secured than other existing payment gateways,positive
@dialoglk Anyone watching the match in YouTube,positive
Received the service just as I expected. Very good,positive
Top class service. They delivered everything they promised. Installed on time and the broadband speed delivered is as advertised.,positive
I had problems with my internet being connected in my new home so I called customer care and spoken to a lovely woman who sorted my problem out and I even got free data on my contact I had with them! They were very apologetic and sorted the problem out straight away! I would highly recommend! Well done to the customer service team especially in the current circumstances!,positive
"Dialog‘s fiber internet provides excellent and reliable speed (as long as your neighbor doesn’t accidentally mow over the fiber line before it’s buried, lol). Their service has not been affected by any kind of weather (storms, wind, rain, cold temperatures, etc.). We have several children that have been Dialogending school remotely and have not overloaded the service yet. Another benefit of having Dialog internet is complimentary HBO Max—a fantastic perk that really adds value and entertainment to the mix.",positive
"We have been using network telecom for nearly two years, it was easy to set up and have had no problems, they helped when our internet went down and directed our phone calls to our mobiles so our cutomers could still contact us, the phones are easy to use and navigate around, we would recomend Network Telecome to others",positive
"I have been with Dialog since I had a telephone in my car... that was 1993. I have great service and a reasonable rate and a 10% discount for working with the State of MD. It is a provider who goes above and beyond to provide the best service! Thank you, Dialog.",positive
An upto date place with all the best facilities.,positive
"wow, i like the new dialog.lk site. when was this launched actually? I must be pretty outdated #dialoglk @dialoglk",positive
thank you dialog for great services ,positive
power friendly and flexible connected products,positive
Lots of love,positive
they willingly do there services for the customers,positive
the best thing I did was choosing dialog as my network provider,positive
"I'm very happy with the service and have been getting the promised sync speed,",positive
Very politely spoken and the requirement was taken immediately for consideration. Thank you.,positive
"Pretty damn good. Great signal all over the Sri Lanka, roaming included. Any issues they sort out quickly. Little bit more expensive than other carriers, but you get what you pay for.",positive
I am very satisfied about the uploading and downloading speed ,positive
Quick services ,positive
Really convenient customer care during this pandemic time. Vey quick response I mean within a day they visited. Absolutely remarkable.,positive
has the best cutomer service ever,positive
"The Dialog's services & staff were great with their internet & cable viewing. Plus, Dialog repair people had installed the cable. Pictures were awesome with a clear picture viewing.",positive
Very good service and Dialogention to customers,positive
Best telecommunication service center,positive
very fast and easy to do our day to day works,positive
its super good to have a student package ,positive
Fast and good service,positive
Loved the client service,positive
Very good customer service. Went to nawala branch to buy a new sim and activate old phone line. Only spend 30 minutes. New atmosphere is really good.,positive
Thank you dialoglk ?? #StarWars #TheForceAwakens #forcearestrong ?? #dialoglk #movie #tickets https://instagram.com/p/_nq3Gjnhyf/,positive
Sent. Hope it will work perfectly fine,positive
@Speedtest result! How fast is your internet? @dialoglk Super Fast! https://t.co/DU1fOUWpbQ #speedtest https://t.co/eR8Ny1f6qc,positive
@dialoglk OK great thanks :). Iâ€™ll try it and see then!,positive
"@dialoglk Yes I do. If the decoder will connect via the Internet (over Dialog BB) then thatâ€™s great.

Does it have its own data connection or am I expected to pay for data on top of the connection?",positive
"@dialoglk This looks good but I donâ€™t understand what â€œDTV installation will take placeâ€ù means. I donâ€™t want the dish nor the cable in my house; can this work on Dialog Broadband or not? 

If yes, perfect (and u guys can make that work better for my house next ;-)). If no, no dice for me.",positive
"@Buddhikamn @dialoglk Exactly what my theory is, we must get the service that we pay for",positive
@Buddhikamn @dialoglk Seems like they respond to WhatsApp messages. Give it a try perhaps,positive
"Congratulations to the SRI LANKA LEGENDS for emerging RUNNERS-UP in the â€˜Road Safety World Seriesâ€™ FINAL. 
A truly legendary performance by our team, all throughout the series! 

#SLLegends #PoweredbyDialog #TrueLegends https://t.co/vFdHAnaH8g",positive
@dialoglk Oky..Tnksâ™¥ï¸è,positive
@saiyaff @dialoglk Data Add On worked 1 hour ago...!,positive
"@dialoglk Now it's working.
And, if you check our DM you can find all these details. That's explains the number of issues you have had in your network?Ÿ˜†",positive
can you please show me or instruct me how to connect via a customer service please? by entering what numbers? ?Ÿ™„,positive
@dialoglk When? 3021? https://t.co/Df57afbOTs,positive
@NisansaDdS Interesting to hear what @dialoglk has to say about this.,positive
@RockCityOutlaw @MobitelSriLanka So it's no better than @dialoglk?,positive
@dialoglk Ok. Thank you for your possible reply ?Ÿ˜ç?Ÿ˜ç,positive
@inahsarp @MobitelSriLanka @dialoglk Problem solved - https://t.co/e0AiLzaKQL,positive
"@dialoglk Thank you.
Can you please give an estimated time to resolve this because waiting doesnâ€™t make my work better as Iâ€™m working from home? So far itâ€™s been 18+ hours.",positive
Experiencing super broadband speeds with @dialoglk from this afternoon. https://t.co/vpTxDWFKWe #kolonnawa,positive
"@hnbplc @Huawei @dialoglk @Airtel Thanks for the update.

I there's even didn't bother to care.

Keep at it. It's this good attitude of HND staff which keep us with your bank.",positive
@dialoglk Thank you.,positive
Thank you dialoglk ?? #StarWars #TheForceAwakens #forcearestrong ?? #dialoglk #movie #tickets https://instagram.com/p/_nq3Gjnhyf/,positive
Finally got a post paid connection @dialoglk #dialoglk thanks,positive
"Now that’s appreciation of hard work and burning the night oil , Thank you and till next time .. peace ?? #trainerlife #softskills #dialoglk #winnerworldwide #shuhaibali @ Access Towers 2 https://instagram.com/p/BogEvjhhb0Q/?utm_source=ig_twitter_share&igshid=14chls3zk21k1",positive
Brand new Dialog experience store in Nugegoda. #dialoglk,positive
Thank you @dialoglk ! ???,positive
#ThankYou #dialoglk for solving my issue via #Twitter appreciate your efforts. #customerservice #SriLanka,positive
great service provided.,positive
Excellent customer service,positive
rs. 345 package is a good internet package.,positive
Thank you for solving my issue,positive
Nugegoda branch provided me a good customer service,positive
4G speed is good today,positive
Very good service and attention to customers,positive
good and fast service,positive
Fast service and helpful staff at Maharagama branch,positive
Good service,positive
Good efficient service. Good customer care also,positive
