review,sent
"After 18 months of promises to fix our broadband, which they claimed to be fibre and ran at download speeds of between 1 and 3 mbps, when our neighbours receive an average of 30, I managed to get the contract terminated. Switched to bt and, after a 20 minute visit from a technician, the problem was resolved, some 100 metres away from the house. Worst company I have ever taken a subscription with.",negative
Dialog speed throttling internet,negative
Shittiest 4G internet from @dialoglk at Dehiwala. Maybe its time to move on.,negative
"Overcharge every month on mobile phone bill, even though told them multiple times to cap charges and block any excess usage.",negative
@AnjulaHettige @dialoglk Hutch 3G is faster than Dialog 4G at my place,negative
Possible throttle,negative
@dialoglk horrible horrible mobile data! But your charges for mobile data are just superb ?Ÿ™„?Ÿ™„?Ÿ™„?Ÿ™„,negative
"How @dialoglk responded to my complaint. Btw when I initially called customer service, they didn't want to give me a complaint reference number!! I had to force their supervisor to lodge the complaint in their system and give me the number!!! #ShitCustomerService https://t.co/KcbYIhKrRX",negative
DudePointless @dialoglk Government should take actions on these thieves,negative
@dialoglk Straight up why you so slow?,negative
The worst internet speed I've experienced through @dialoglk https://t.co/8jq0xfFtZ9,negative
"Nothing ever goes right with them. 1) I signed up for their 5g mobile broadband, got into a contract was sent a 5g modem/ router and them I found out there that there isn't any 5g coverage on the registered address. 2)I asked to port a phone number to their network as a new contract and they ended up replacing the number I already had with them. I lost my phone number. 3) I have a pay as you go line I use for travelling and every time I try to top it up I have issues and end up being charged twice but the credit is only applied once.",negative
So slow. #internet by @dialoglk in colombo suburbs (Lets say #Battaramulla),negative
"@dialoglk i have raised a complain on 5th March, related to signal (slow ness) now i have barely internet. Mobile signal also seems to be week. No 4G. Firsy fix this ASAP. As this is yr failure, i want a wave off from my bill, ref is 2-0002734759",negative
Dialog are best avoided. We use them for broadband (City Fibre). When the contract was taken out it took countless phone calls and two months without internet to get it installed and setup. Now we’re moving. We gave them over three weeks notice and we’re assure that all was good and we’d be transferred and set up on the day of the move. Five days prior to the move my wife called to confirm and they hadn’t a clue. Five hours of phone calls to five different Dialog people and we still have no broadband. The are totally incompetent. The worst customer service you’ll ever receive!,negative
dialoglk Please contact me via 0718588082 and will provide more details. I have requested a temporary mobile router until this signal issue gets resolved and may I know the status of that request? Don’t make me leave the company,negative
Worst time management of the staffs. Some staffs taking token in personal preference and making other to wait too long.,negative
@AnjulaHettige @dialoglk @TRCSL Isnit only Dialog or even other operators also do the same,negative
Worst customer service @dialoglk https://t.co/63x2DYzegz,negative
"Yes! This is really good as no-one wants to be stuck with a single service provider forever!

@dialoglk sign me up to move over to @MobitelSriLanka https://t.co/jZYeoFcOcR",negative
@dialoglk why 3G is more speed than 4G?,negative
@dialoglk Waited almost 1.5 hours on the call and it got disconnected without a solution. https://t.co/1UFwR98GzI,negative
No one understand how their billing is done & cant contact hotline or any single donkey who works at this to ask… do not recommend the service.,negative
"@dialoglk why are you guys so slow? 

Literally on the 3rd router because your previous 2 routers malfunctioned and were recalled. https://t.co/QlWBKtUVvD",negative
"@dialoglk Because of that what I'm requesting is to provide a temporary mobile router or any other solution to use internet connection without any problem until @dialoglk resolve initially mentioned ""Indian Signal Interference issue""",negative
Internet Throttling,negative
Internet speed is terrible,negative
Very poor customer service. Parking is troublesome,negative
"@CRdelaharpe @isionaria @dialoglk upload speeds are a bit shit,  but it is what it is",negative
Useless network ever used.. Not the damn dialog what was at it beginning.,negative
@dialoglk im tired lodging complaints ?Ÿ–• https://t.co/ytQB1VDwvB,negative
Dialog you just lost a client increased my bill by 1.4% my contract is running out within couple of months.,negative
"When I complained about a issue, they told that their customer number for our area is too much to handle for their signal tower. That was a lame excuse.",negative
Hello @dialoglk let me know what will you replaced for customer own 4G router. Brand new or repaired.,negative
"@WhatsApp and @instagram are down for everyone worldwide!

@dialoglk you guys didnâ€™t mess up this time. Good stuff.

#WhatsAppDown #InstagramDown #lka",negative
"@CRdelaharpe @isionaria @dialoglk the second they add the youtube and netflix packages, bell 4g networks will grind to a stop",negative
"Rubbish customer service, my broadband connection was not working and they said go on the broadband and get the broken broadband fixed. Maybe if my broadband was working I would have already used the broadband.",negative
dialog doesnt even deserve a 1 star..,negative
Had enough with #DialogLk #SriLanka,negative
"@dialoglk Extremely Poor Service In Jaffna 4G Broadband.

I am planning to cancel the connection and move to @SriLankaTelecom",negative
The worst mobile phone service provider in Asia according to my experience. Dialog Axiata cheats their customers when billing and charging for services. WiFi coverage is not good. They love to add worthless services for your bill.,negative
@dialoglk No response until now https://t.co/qp0fhUEaDx,negative
Dialog has possibly the worst customer service I’ve ever experienced. They’ve treated me so incredibly badly.,negative
"@AnjulaHettige @dialoglk @TRCSL They told me that their servers can't handle the traffic and that's why it's slow.
They never slow the charges down but the internet.
A 30 second YouTube video takes more than 30 seconds to load",negative
Caved in and finally signed up for spotify premium not coz i wanted unlimited skips but coz of @dialoglk 's too long garbage ads. ?Ÿ?®,negative
"Dialog you ducking piece of shit 
@dialoglk https://t.co/WbQdGZd0K1",negative
"@dialoglk Couldnâ€™t wait anymore, switched to SLT 4G and got sufficient speed to work from home. Please keep me me posted once the issue is resolved so I can compare whatâ€™s the better service. ?Ÿ™‚ Thank you.",negative
...when your customers start to realize and learn how the technology works. And then they won't walk away easily without you giving them a truthful answer #dialogLk. As of now people are talking about your services. The horrible customer support your engineers are providing...,negative
@PO5IT1VE @dialoglk Yea but I want to check my 5G as well?Ÿ¥º,negative
@itZmeRakitha @dialoglk I had 4 and disconnected 3 of them already ?Ÿ˜‚?Ÿ˜‚,negative
Called the call centre and reserved a phone and when reached the Dialog Club Vision Counter they said it's not available...wasted my time...system needs to be upgraded.,negative
"@dialoglk unsurprisingly, itâ€™s the same info as before.",negative
@dialoglk @AnjulaHettige Yako every single person whoâ€™re using your shitty network is having these issues. Do something about it ?Ÿ???Ÿè?â€çâ™‚ï¸è for lies asking connection number. Crap,negative
"obviously #dialoglk will pick the worst TV channel network, now they have a huge business opportunity that people will buy #dialogtv",negative
djharris32913 @dialoglk @MobitelSriLanka I use Mobitel as my primary mobile connection. 4G is far better than dialog. Thinking of changing HBB connection but didn’t find a good package from mobitel ??,negative
I hate when #dialoglk gives edge instead of hspa,negative
"I ended up paying the bill twice because of 
@dialoglk
  stupid mobile app. 
Payed it once and no feedback / didn't activate,  app freezed.
2nd Dialogempt was a success. But with a -2500lkr balance. Seriously #dialoglk?",negative
They are absolutely awful.,negative
At least they cant  cover the Colombo area.. Really bad customer service. Simple rain in a single place can mezz all of their master plans. Even now putting this comment using a Mobitel hots pot since Dialog is already being mezzed due to the rain.,negative
"@dialoglk Why you guys havenâ€™t activated 5G trials for #Apple iPhone12 / iPhone12Pro?!

#Srilanka",negative
"@ravinhwg @Huawei @dialoglk @Airtel @hnbplc So, you are right to assume they collect data.

No, you are wrong to assume there is nothing we can do about it.

Got my point?",negative
"My rooter didn’t work properly.... wouldn’t connect to my app. Called customer service; the advisor kept me on the phone for 1 and a half hours. Didn’t resolve any problems, I was resolving some of the issues myself. Told him I wanted to leave as they didn’t provide what I paid for initially. ",negative
@AaqishFaizal @dialoglk @AnjulaHettige Horalog for a reason bro ?Ÿ˜Å,negative
@dialoglk Yes they contacted. But haven't provide a solution yet,negative
Sri Lanka's most horrible cellular network ever. ,negative
I will switch my number to your competitor.,negative
Getting reconnected more than 100 times in a day while using @dialoglk 's internet service. Have raised the complain thrice. SR Number 2-0002732511,negative
"@ChrishanJay @dialoglk I have no idea what any of that means ?Ÿ‘€ but Dialogs connectivity does suck ?Ÿ?£ my data doesn't work when I'm downstairs in our house, wifi drops in and out when it wants. It's the worst. 

 @AnjulaHettige",negative
"One of the leading mobile service provider in sri lanka.
Well known mobile network for misuse people's money for various 3rd party services without even customers permission.
I wont Suggest this network for anyone",negative
They took more than 5 days to contact me regarding my internet issue. I had to make series of calls to get my work done.,negative
Zero customer service levels,negative
ravinhwg @Huawei @dialoglk @Airtel @hnbplc You are both right and wrong....,negative
"Hi @dialoglk, The Government has reduced the VAT & NBT for Telecommunication levy. You better reduces the bill amount rather than increasing the quota for Dialog Wi-Fi Users. We know how the 50GB Package becomes 66GB ??",negative
@dialoglk When? 3021? https://t.co/Df57afbOTs,negative
Deleted MyDialog app because meh redda hema welema karaki karaki thiyenne ,negative
@EnochianQueen @dialoglk Do they give podcasts in premium? Cause I can't find them in free version?Ÿ˜?,negative
throttling and disconnections,negative
"@dialoglk @dialoglk  no one called. Even in the morning i was experincing troubles. Seems like entire network has an issue, coz most my friends have replied to my post in FB telling they have the same issue but @dialoglk  is not responding",negative
"I am extremely disappointed in your customer loyalty I have always paid my bills on time after more than 8 years and thousands of pounds paid ,one missed bill I had no idea about,no communication with me just disconnected my home broadband and worst of all ,ruined my credit report witch I must say was excellent this is very bad customer service,I will not be recommending Dialog for loyalty",negative
"@dialoglk No need to DM. It took me 5 freaking days to lodge a complaint. SR No:  2-0002794387
Now take your apology, shove it up your sorry ass and fix this!",negative
"Made a complaint to @dialoglk regarding loss of 4g service. The response from the tech agent was ""interference from some Indian radio frequency signals"" on the Jaela tower &amp; ""it will rectify in a few days"".  I know that this can happen but unsure whether it is legit at this time.",negative
Why the fuck do you send these spam texts? You didnt respond to my previous concern either. #DialogLK #Spam,negative
@dialoglk App is super slow compared to previous. But lots of new features,negative
dialog sending spam emails via lankan e-ads to promote their skype customer care address.. lol.. #dialogsux #dialoglk #dialogaxiata #dialog,negative
"dialoglk What's with the awful connection and speed? It's been lagging for the past couple weeks and hit an all new low today, cannot even do a simple Google search without it crashing. Kindly fix this! #dialog #dialoglk",negative
 Odd that a communications company is so poor at allowing you to communicate with it.,negative
"During an online lecture I mean could there be a better time to have your WiFi go peekaboo? 

@dialoglk thank you for not bailing out on me :) https://t.co/rMBCd4v2LC",negative
@judemelaka @annethekat @dialoglk SLT wonâ€™t be any much better when it comes to cost of These packages,negative
Issues in Dialog Internet Online Streaming,negative
@dialoglk The internet keeps dropping for very short periods.  This happened again at 10.15 for a minute at a crucial time of my online lecture. The complaint made on 20th August 2020 (Ref.2-0001807480) is still pending. This is very disappointing.,negative
What hell is going on with dialog broadband @dialoglk ?,negative
"#tikirimaarie @dialoglk This struggle is real.I205 What's worse is we can't cpntact them directly?Ÿ˜ê
Dia ekka kathakragnnalu?Ÿ˜’",negative
Switched from dialoglk Home Broadband to Mobitel Broadband. Difference in speed is just mind blowing. ,negative
"Here is how #telcomafia #dialoglk 
@dialoglk
 “ MyDialog App “ & “ Web User “ Terms & Conditions #7 regarding collection of user data cheatings 
@TRCSL
 no “opt-out “ given!",negative
"3 most useless things

1. Semi luxury buses
2. Neighbors love
3. @dialoglk",negative
I have been complaining about a connection issue for moths but it was not solved.,negative
"Despite misgivings, we though we'd give Dialog a chance and booked broadband installation with them when we moved into out new home. They promised the cheapest deal and the fastest installation. One week before installation the contacted to say that Openreach has messed up their connection and we would have to wait an additional week. Some days later (after we had received the Dialog modem), they contacted us to say that there were no connections available in our area and so they couldn't supply the service. We had given our address, they'd accepted the contract and two weeks later we're faced with starting all over again with another firm thus delaying access to broadband even further. Incompetent hardly describes their service. Surely they should know what they can supply? Did Openreach really mess up, or did Dialog suddenly realise they couldn't fulfill their agreement with us and try to buy more space on the local cabinet? Several years ago I had issues with setting up my mobile phone contract with Dialog and it appears that they've not improved at all despite their assurances. AVOID!!!",negative
"@dialoglk I have already DM my connection no several times for the same issue. However, I'll send it again, and please check that ASAP",negative
"@chamikavi @isionaria @dialoglk That's true, &amp; only other factor is coverage but if you are not moving around &amp; located somewhere in coverage its a no brainer #bell4g over @dialoglk broadband any day.",negative
"The frustration I have to go through using a 
@dialoglk
 mobile connection in #Ragama area is hectic. Why is it getting worse every day? Been complaining about these issues for the past two years.

PS: I am not talking about the bandwith but the signal strength.",negative
@dialoglk any issue with the payment process ? this is the third card rejected both on the app and web,negative
While comparing @DialogQatar & @dialoglk i will say #DialogLK is worst in how these idiots handle our complaints.,negative
dialoglk why so pathetic??? #dialoglk #whysoslow #datathief #lk #slow #srilanka,negative
Why you do this and disconnect us from you @dialoglk? https://t.co/HZ7Iee5IGL,negative
"@frankanderic @dialoglk @TRCSL I use SLT Fibre as well, haven't noticed them doing this. There speeds are very stable across servers",negative
@AnjulaHettige @dialoglk @TRCSL At this point they aren't faking. The farther the servers are the latency will increase and the speeds will decrease. Closer the servers are the latency will be low and the speeds will increase.,negative
"So after challenging #DialogLK to a court case in this tweet thread, one of their departments just called me up and used a bullshit ""gesture of good will"" line and said they would give me the 2GB. But this publicity is not for the 2GB, it is to make them stop #cheating their customers! So don't let big or small companies cheat you. Publicize their bullshit on social media. If you have your facts right, challenge them in court. If you need advice in certain mDialogers, don't hesitate to contact me. Let's #TakeAStand against #CheatersInLK #LetsImproveSL ",negative
"Disconnected my 8 year old @dialoglk home broadband and switched to @MobitelSriLanka Broadband last month. Mainly due to the reason that FDD has better upload speeds than TDD. Except for the customer service, everything else seems to be good with Mobitel.",negative
"I just saw that my second Dialog number was expired in last December. is it possible to get it back if I reload to that? @dialoglk  try to called you, but customer service is not working. ?Ÿ™„",negative
"Well, I work remotely and just moved in my new house. They assured me I'll have my broadband and everything set by the end of 18th of feburary but that it could take up to midnight. ""Don't worry, I assure you it will work etc etc"". Now I've just talked with 3 different people and it seems they will not supply the service and I will be offline till the 22nd!!!!!!!!!!!!!!!!!!!!!! I have meetings to do, I'm in industry and need internet to work. I told them how ridiculous this is and they just told me to make it better I will not be charged until I'll be online!!!! Such a huge favor!!!!! Basically they will not charge me for something I didn't get!!! That should be just obvious common sense but apparently is not automatically granted if you are dealing with Dialog!! Stay away!! I will change provider as soon as I can! Thx for nothing Dialog!! As always you prove yourself as the worst company on the market!",negative
"dialoglk Exactly, as a solution they said they'll wave off a % from the bill and reduced around Rs. 250 from the bill like we cannot pay that ?Ÿ˜‚ What we need is not a wave off but uninterrupted internet connection. We can pay the bill and @dialoglk should provide uninterrupted connection",negative
"For 12MB, 12  minutes… shame on you.
@dialoglk Rocking https://t.co/jlDzVOpmDk",negative
"@NewsWireLK @AzzamAmeen it seems like a lot of users are keeping @dialoglk just because of the 77 / 777 number, now they can use the same number with a good network ?Ÿ˜€",negative
"Can I have at least 1Mbps @dialoglk ? 
Ps: This is not just today. https://t.co/LOdZYqhmx2",negative
Honestly negative internet speeds and poor service. Plus they overcharge for every little thing.,negative
@AnjulaHettige @munza14 @dialoglk @TRCSL That's how they keep cheating their loyal customers.,negative
@dialoglk I sent the connection details mentioning the answer I got from help line. Answer I got and the way it was given werenâ€™t convincing and Iâ€™m still facing the same issue.,negative
"Lanka &amp; @ChinaEmbSL are now trying to intercept domestic Gmail traffic via @SriLankaTelecom, @dialoglk and @MobitelSriLanka. Key targets are media, activists, lawyers and civil servants. Consider using a free encryption service like @PreVeil,@virtruprivacy or @TutanotaTeam. (1/2)",negative
@dialoglk Great so I wait another six months @NewsWireLK maybe you should journalise it considering the rip off,negative
dialoglk  shame on you !! you need to respect to the service agreement.. ! you are loosing a loyal customer for last 6 years! #dialoglk #fb,negative
It's bloody annoying,negative
"@dialoglk FYI @TRCSL @milindarj @irajonline @GotabayaR @Rohitha_Chichi Before providing unlimited data packages, please ask @dialoglk to provide an uninterrupted internet connection to existing users",negative
Sharing customer details public do violate privacy &confidentially policy and ethics #Dialoglk #LKA #mobile,negative
Bad decision if anyone wants to purchase a connection from these thieves.,negative
"@dialoglk Hi Shanu, I hope you are not a bot as others. since you asked, can you actually read my tweet and understand that if I have a complaint ref number that means I have already contacted your hotline..??",negative
One of the worst customer service I have experienced in my life.,negative
@dialoglk data makes a bad headache even worse ?Ÿ™„,negative
Poor customer service. They don't mind about customer needs. They only handle high end customers only.,negative
Dialog Branch in Grandpass is really really really slow. Can humans work this much slow?  #omg #lka #dialoglk #srilanka,negative
"dialoglk has the WORST fucking service!! Their connection is horrid and slow and customer care is just a chat bot with bogus irrelevant replies!! #dialog #dialoglk 
Does anyone ever Dialogend to customer queries @dialoglk !???",negative
Beware @dialoglk  charges people for their STUPID ringtone service without even asking them whether they want it! THIEVES #DialogLK #SriLanka,negative
"Customer service is shocking and they consistently make mistakes. To cap it all, when I finally decided to shift my mobile contracts to another provider I'm promised a refund on my final bill and guess what? As I type this I am wasting more time on Dialog chat asking why they have not given me my refund. Useless!!!",negative
"Dear @dialoglk, Iâ€™m trying to dowload a 29 mb video for more than 2 hours now. Iâ€™m in Gampola (Central Province). Can you give me a solution to download this video so that I can continue my work by providing feedback for an urgent video clip which needs changes?",negative
3rd class service.,negative
"@dialoglk You have the worst Customer service, had an issue in my bill, called the customer care, the representative said hold on, and transferred me to the technical staff, he says he can't look into it and transferred back again to customer care. Insane.",negative
"@nHiRanZ @dialoglk Yes, since long time back.",negative
Worst company,negative
"They don't treat there customers well at all.. They don't care about customer at all. Such disappointment from such a big multinational company.. 
#cooperatecompany #multinationalcompany #dialogaxiata #dialoglk",negative
"Can I have at least 1Mbps @dialoglk ? Shame shame
Ps: This is not just today. https://t.co/LOdZYqhmx2",negative
Bad customer care. Hidden charges on all packages,negative
@tikirimaarie @dialoglk And they still call themselves â€œThe Number 1â€ù ?Ÿ???Ÿè»â€çâ™‚ï¸è?Ÿ???Ÿè»â€çâ™‚ï¸è?Ÿ???Ÿè»â€çâ™‚ï¸è,negative
dialoglk i was told my problem would be sorted in 54 hours. Been a week now. Unbelievable. Ridiculous. #dialoglk #USELESS #crap,negative
"@dialoglk Yesterday evening I have mailed regarding the issue to your area manager, he dropped me a message saying he received the mail and he will forward it to the relevant department and take a decision and contact me..",negative
"dialoglk #dialoglk came to Dialog at Gampaha to get a new broadband connection, waiting for 30min in the queue",negative
"Dear Dialog, u maybe big but tis is not how u treat a customer. It more than two weeks, has the agent assigned this is in MARS. ny body who knws Dialog executives pls tag. Customer complaints shud  be handle respectfully. Disgraceful service. #dialoglk #CustomerService #complaint",negative
"#dialoglk They talk about 4.5G LTE, But even can't give us stable 4G connection. #dialoglk 4G has 1 or 2 signal bars. Now one of my friend moving with #slt 4G with full signal bars and stable connection.",negative
Worst Telecommunications company ,negative
Simply waste,negative
@dialoglk i have question regarding my connection.   A big one,negative
Well known mobile network for misuse peoples' money for various 3rd party service without even customers permission. ,negative
"@dialoglk Thank you for the effort. My router is at the same location as it was before the problem, so I believe itâ€™s a problem of change of your coverage. However speeds are still very low.
Hereâ€™s the best speed I got this morning. https://t.co/UFmMXjE6M2",negative
The internet connection is getting worse and worse everyday.,negative
@dialoglk Can you confirm if the Huawei version of My Dialog has all the features and functionalities of Google aplasy Store version..?,negative
d3vinlive @dialoglk Me too but need sth to travel with ne :( unsatisfied,negative
@AnjulaHettige @dialoglk I made a complaint yesterday regarding the poor network services on Twittter and they blamed it on possible incorrect SIM installation. CustomerCare is so bad and top of all so cheap. @dialoglk https://t.co/Mc3UAXTz8C,negative
So here we go after four weeks of almost no broadband in my home and umpteen complaints chats and a still ongoing issue They have just had the nerve to Bill me for last months broadband It's outrageous the service and supply issues I'm having with this lot,negative
@dialoglk May I know when did I lodge the complaint ID 2-0002723860 and how many times I have contacted customer care and asked to send reminders on that?,negative
"@dialoglk Is this really escalated? No one contacted me and I cannot do my work. WTF @dialoglk is doing? No point of blaming the heatwave and if you cannot resolve it immediately, provide a temporary solution like a mobile router, please.",negative
"@AnjulaHettige @munza14 @dialoglk @TRCSL Also the WhatsApp, Facebook and YouTube packages speed keeps fluctuating.If they control speed they should let customers know so we have a choice of buying those data packs or to use anytime data.",negative
"Hi @dialoglk, can you gimme a fixed solution for this connection slowness issue please? It’s been months since I complained about this. ?? https://t.co/h8TgjQsNNJ",negative
@inahsarp @MobitelSriLanka @dialoglk Problem solved - https://t.co/e0AiLzaKQL,negative
@sdyakupitiyage @dialoglk It's all the same! Even at 3am,negative
Most disappointing. Lethargic and not helpful at all.,negative
@RegularReh @dialoglk Yeah. I have seen and experienced the same thing time to time.  But speedtest thing is false.,negative
Dear @dialoglk  If this comes live from October and Hutch launches 5G for Colombo by October. You might need up packing your bags bcx the company which is backing Hutch can rip you apart ?Ÿ?£ #Lyca #Entertainment https://t.co/08Y63eU7AY,negative
To solve a simple problem they wasted my money and time for several days.,negative
#youtubedown no no it's actually @dialoglk 's you tube monthly package down.,negative
@dialoglk Because of that I cannot accept when you say relevant team will get back to me soon. So can you provide a specific time frame please?,negative
"@dialoglk Really great to here. But i doubt on some thing is happening coz, i raised this issue on 5th march, no body responded. Ticket was opened for 2 weeks. So you should make sure you provide a wave off from the bill, clearly,",negative
"Can I have at least 1Mbps @dialoglk ?  Shame shame
Ps: This is not just today. https://t.co/LOdZYqhmx2",negative
"@TRCSL @icta_srilanka do we have any planned time frame for 2G phase out. Our IoT industry still implemnting new solutions around 2G technologies.

@TechKatha @dialoglk @MobitelSriLanka #SriLanka #IoT #2G",negative
@dialoglk Oh no guys I'm just complimenting you âù?,negative
dialoglk says the future today but not using the government introduced QR based covid 19 safety mechanism instead keep people in queues and manually write the names. While this can be a backup tech must be used.,negative
@dialoglk what is going on with these connection issues? Dialog home broadband is almost unusable now. Even had better connection than this during COVID lockdown last year. What is goin on???? Very disappointed ?Ÿ˜?,negative
@tikirimaarie @dialoglk Why don't u switch to a fibre connection bro ? Is it because portability ??Ÿ˜¢,negative
Why dialog gives more 4G data without providing 4G signal. disappointed.,negative
what’s with the data slowness? Mobile and 4G wifi both has been slow down.,negative
@dialoglk how can I deactivate my home broadband?,negative
"more than two weeks couldn’t use #dialoglk router at badulla town complained many still no response but getting money for data from us by without any usage, which is totally wrong to get money for nothing.",negative
Cheating Customers  always . SO SAD customer care service provider,negative
One of biggest company in Sri Lanka but they supply poor quality CDMA phone poor customers. I have very bad experience with the service.,negative
"@dialoglk Thank you.
Can you please give an estimated time to resolve this because waiting doesnâ€™t make my work better as Iâ€™m working from home? So far itâ€™s been 18+ hours.",negative
@ravinhwg @nisalatp @Huawei @dialoglk @Airtel @hnbplc I was addressing his initial subject regarding updates &amp; feature lacking in Apps between Google Playstore vs Huawei App Market,negative
@dialoglk May I know since when complain is IN PROGRESS?,negative
"Worst Customer service in the world @dialoglk 

Worst Internet Service provider in the world @dialoglk 

All worst credits to @dialoglk",negative
@DudePointless @dialoglk Agreed,negative
"Contacted customer care 3 times on 3 separate issues, Never got anything done.",negative
@dialoglk stop trying to act like the issue is with my phone or hardware related. Your freaking netwrok doesnt work for anyone. How cheap you all are!!,negative
"@dialoglk This mDialoger and continue our business with your company.

Thank you",negative
@NewsWireLK @AzzamAmeen Goodbye @dialoglk,negative
Another evening of Nowhere broadband in the lounge Another slow speed unbearable Netflix and buffering when will Dialog deliver it their promise,negative
dialoglkYou guys ae the absolute worst internet provider.I'm getting speeds less than 100kb/s on 4G mobile data.I request everyone to switch from this shitty internet,negative
Too Slow.I have to wait very long time to obtain my work.,negative
@dialoglk What do you mean by more time? Can you please check when did I lodge the complain and how many reminders have been requested?,negative
#ChrishanJay @RegularReh @dialoglk why too slow,negative
@dialoglk Then I can move to any other internet provider ASAP without debating with your customer care and telling the same thing again and again in here as well.,negative
@RegularReh @dialoglk LOL ?Ÿ˜‚ itâ€™s always been like that. In speedtest by default they will select the same network server for testing. Thatâ€™s something from the developers side. Not with Dialog.,negative
@chamikavi @isionaria Moved from @dialoglk broadband to #bell4g about 4 years ago. Best decision ever. No regrets.,negative
I've made an payment 30 December to my dialog home broadband. I was charged and they claims my money never received to them. I've made the bank dispute and bank verified my money delivered to them successfully. they don't have separate customer support section. poor customer support and unprofessional case handling stay away..,negative
"@dialoglk No use of complaining, I've already experienced same problem few days ago. After complaining, there is a good speed but in few hours, again the internet speed is getting down to below 1Mbps.",negative
3rd class service provider in Sri Lanka. All they need is money. ,negative
"@dialoglk Why the f**k am I paying you for this..?? Go ahead and listen to my complaint with ref number 2-0002808395. Please fix your infrastructure, please. or just donâ€™t bloody say youâ€™re the number 1 ?Ÿ?¬?Ÿ?¬?Ÿ?¬ https://t.co/CUfyHhAGMP https://t.co/0Fldvzp1qG",negative
Very unsatisfactory service. They are very late on customer service,negative
@nisalatp @ravinhwg @Huawei @dialoglk @Airtel @hnbplc but why are u with Huawei knowing the loss of google services. try oppo oneplus nokia or xiaomi ...huawei having more social bots &amp; trackers compared to other tech industries,negative
"Dialog has found a way to fake the https://t.co/Ea8VrxXDdx results. If you're doing a test through this site, change the server to a different country, you will get the real speed or use https://t.co/vBxgd5jwRf. Thanks @dialoglk for trying to cheat your customers again. @TRCSL",negative
They not following srilankan policies for Language within the company,negative
"I ended up paying 200 pounds just for the remaining time of my contract, during which I haven't used the wifi and had my router disconnected.",negative
"Provide realistic, actionable, implementable solutions for my issue NOW. I cant wait for an hour more wen you all have not done anything for an year. Such pathetic service! @dialoglk",negative
"@dialoglk sent me this message and once I activated the 99, I didn't receive the 2GB! I contacted customer care and they said I'm not eligible for it??? ?Ÿ˜¡?Ÿ˜¡ I want a complete refund if it's not activated! ITS NOT THE MONEY, ITS THE PRINCIPLE!! #DialogLK cheats! Ref: 2-0002806541 https://t.co/w1vGtN8uCG",negative
A worst place. All are in que with a piece of paper. I still didn't got a solution for my  problem,negative
"Imagine living in 2021 and not being able to watch a 480p YouTube video without buffering. Thanks, @dialoglk.",negative
@AnjulaHettige @dialoglk @TRCSL Hutch seems okay on 4g ?Ÿ˜‚ https://t.co/3GDNbVk6DR,negative
@AnjulaHettige @dialoglk I thought it was for me!! Not even the 144p!! #dead,negative
#dialoglk I have dropped a DM to you Amy. Could you please check and reply to it. Rather than being a bitch. Thanks.,negative
